Rawfilenumber	Sample	Protease	run	replicate
EH3955	47	Ct	run1	1
EH3956	47	Ct	run1	2
EH3957	47	Ct	run1	3
EH3961	48	Ct	run1	1
EH3962	48	Ct	run1	2
EH3963	48	Ct	run1	3
EH3967	49	Ct	run1	1
EH3968	49	Ct	run1	2
EH3969	49	Ct	run1	3
EH3973	50	Ct	run1	1
EH3974	50	Ct	run1	2
EH3975	50	Ct	run1	3
EH3979	51	Ct	run1	1
EH3980	51	Ct	run1	2
EH3981	51	Ct	run1	3
EH3985	52	Ct	run1	1
EH3986	52	Ct	run1	2
EH3987	52	Ct	run1	3
EH3991	53	Ct	run1	1
EH3992	53	Ct	run1	2
EH3993	53	Ct	run1	3
EH3997	54	Ct	run1	1
EH3998	54	Ct	run1	2
EH3999	54	Ct	run1	3
EH4003	55	Ct	run1	1
EH4004	55	Ct	run1	2
EH4005	55	Ct	run1	3
EH4006	56	Ct	run1	1
EH4007	56	Ct	run1	2
EH4008	56	Ct	run1	3
EH4009	57	Ct	run1	1
EH4010	57	Ct	run1	2
EH4011	57	Ct	run1	3
EH4012	58	Ct	run1	1
EH4013	58	Ct	run1	2
EH4014	58	Ct	run1	3
EH4018	59	Ct	run1	1
EH4019	59	Ct	run1	2
EH4020	59	Ct	run1	3
EH4027	60	Ct	run1	1
EH4028	60	Ct	run1	2
EH4029	60	Ct	run1	3
EH4033	61	Ct	run1	1
EH4034	61	Ct	run1	2
EH4035	61	Ct	run1	3
EH4039	62	Ct	run1	1
EH4040	62	Ct	run1	2
EH4041	62	Ct	run1	3
EH4045	63	Ct	run1	1
EH4046	63	Ct	run1	2
EH4047	63	Ct	run1	3
EH4051	64	Ct	run1	1
EH4052	64	Ct	run1	2
EH4053	64	Ct	run1	3
EH4057	65	Ct	run1	1
EH4058	65	Ct	run1	2
EH4059	65	Ct	run1	3
EH4063	66	Ct	run1	1
EH4064	66	Ct	run1	2
EH4065	66	Ct	run1	3
EH4069	67	Ct	run1	1
EH4070	67	Ct	run1	2
EH4071	67	Ct	run1	3
EH4072	68	Ct	run1	1
EH4073	68	Ct	run1	2
EH4074	68	Ct	run1	3
EH4078	69	Ct	run1	1
EH4079	69	Ct	run1	2
EH4080	69	Ct	run1	3
EH4084	70	Ct	run1	1
EH4085	70	Ct	run1	2
EH4086	70	Ct	run1	3
EH4090	1	AspN	run1	1
EH4091	1	AspN	run1	2
EH4092	1	AspN	run1	3
EH4094	2	AspN	run1	1
EH4095	2	AspN	run1	2
EH4096	2	AspN	run1	3
EH4098	3	AspN	run1	1
EH4099	3	AspN	run1	2
EH4100	3	AspN	run1	3
EH4102	4	AspN	run1	1
EH4103	4	AspN	run1	2
EH4104	4	AspN	run1	3
EH4106	5	AspN	run1	1
EH4107	5	AspN	run1	2
EH4108	5	AspN	run1	3
EH4112	6	AspN	run1	1
EH4113	6	AspN	run1	2
EH4114	6	AspN	run1	3
EH4116	7	AspN	run1	1
EH4117	7	AspN	run1	2
EH4118	7	AspN	run1	3
EH4120	8	AspN	run1	1
EH4121	8	AspN	run1	2
EH4122	8	AspN	run1	3
EH4124	9	AspN	run1	1
EH4125	9	AspN	run1	2
EH4126	9	AspN	run1	3
EH4128	10	AspN	run1	1
EH4129	10	AspN	run1	2
EH4130	10	AspN	run1	3
EH4134	11	AspN	run1	1
EH4135	11	AspN	run1	2
EH4136	11	AspN	run1	3
EH4138	12	AspN	run1	1
EH4139	12	AspN	run1	2
EH4140	12	AspN	run1	3
EH4142	13	AspN	run1	1
EH4143	13	AspN	run1	2
EH4144	13	AspN	run1	3
EH4146	14	AspN	run1	1
EH4147	14	AspN	run1	2
EH4148	14	AspN	run1	3
EH4150	15	AspN	run1	1
EH4151	15	AspN	run1	2
EH4152	15	AspN	run1	3
EH4154	16	AspN	run1	1
EH4155	16	AspN	run1	2
EH4156	16	AspN	run1	3
EH4160	17	AspN	run1	1
EH4161	17	AspN	run1	2
EH4162	17	AspN	run1	3
EH4164	18	AspN	run1	1
EH4165	18	AspN	run1	2
EH4166	18	AspN	run1	3
EH4168	19	AspN	run1	1
EH4169	19	AspN	run1	2
EH4170	19	AspN	run1	3
EH4172	20	AspN	run1	1
EH4173	20	AspN	run1	2
EH4174	20	AspN	run1	3
EH4176	21	AspN	run1	1
EH4177	21	AspN	run1	2
EH4178	21	AspN	run1	3
EH4182	22	AspN	run1	1
EH4183	22	AspN	run1	2
EH4184	22	AspN	run1	3
EH4186	23	AspN	run1	1
EH4187	23	AspN	run1	2
EH4188	23	AspN	run1	3
EH4190	24	AspN	run1	1
EH4191	24	AspN	run1	2
EH4192	24	AspN	run1	3
EH4194	25	AspN	run1	1
EH4195	25	AspN	run1	2
EH4196	25	AspN	run1	3
EH4200	26	AspN	run1	1
EH4201	26	AspN	run1	2
EH4202	26	AspN	run1	3
EH4206	27	AspN	run1	1
EH4207	27	AspN	run1	2
EH4208	27	AspN	run1	3
EH4212	28	AspN	run1	1
EH4213	28	AspN	run1	2
EH4214	28	AspN	run1	3
EH4218	29	AspN	run1	1
EH4219	29	AspN	run1	2
EH4220	29	AspN	run1	3
EH4224	30	AspN	run1	1
EH4225	30	AspN	run1	2
EH4226	30	AspN	run1	3
EH4230	31	AspN	run1	1
EH4231	31	AspN	run1	2
EH4232	31	AspN	run1	3
EH4236	32	AspN	run1	1
EH4237	32	AspN	run1	2
EH4238	32	AspN	run1	3
EH4242	33	AspN	run1	1
EH4243	33	AspN	run1	2
EH4244	33	AspN	run1	3
EH4248	34	AspN	run1	1
EH4249	34	AspN	run1	2
EH4250	34	AspN	run1	3
EH4254	35	AspN	run1	1
EH4255	35	AspN	run1	2
EH4256	35	AspN	run1	3
EH4260	36	AspN	run1	1
EH4261	36	AspN	run1	2
EH4262	36	AspN	run1	3
EH4263	37	AspN	run1	1
EH4264	37	AspN	run1	2
EH4265	37	AspN	run1	3
EH4266	38	AspN	run1	1
EH4267	38	AspN	run1	2
EH4268	38	AspN	run1	3
EH4269	39	AspN	run1	1
EH4270	39	AspN	run1	2
EH4271	39	AspN	run1	3
EH4275	40	AspN	run1	1
EH4276	40	AspN	run1	2
EH4277	40	AspN	run1	3
EH4278	41	AspN	run1	1
EH4279	41	AspN	run1	2
EH4280	41	AspN	run1	3
EH4281	42	AspN	run1	1
EH4282	42	AspN	run1	2
EH4283	42	AspN	run1	3
EH4284	43	AspN	run1	1
EH4285	43	AspN	run1	2
EH4286	43	AspN	run1	3
EH4290	44	AspN	run1	1
EH4291	44	AspN	run1	2
EH4292	44	AspN	run1	3
EH4293	45	AspN	run1	1
EH4294	45	AspN	run1	2
EH4295	45	AspN	run1	3
EH4296	46	AspN	run1	1
EH4297	46	AspN	run1	2
EH4298	46	AspN	run1	3
EH4299	47	AspN	run1	1
EH4300	47	AspN	run1	2
EH4301	47	AspN	run1	3
EH4305	48	AspN	run1	1
EH4306	48	AspN	run1	2
EH4307	48	AspN	run1	3
EH4311	49	AspN	run1	1
EH4312	49	AspN	run1	2
EH4313	49	AspN	run1	3
EH4317	50	AspN	run1	1
EH4318	50	AspN	run1	2
EH4319	50	AspN	run1	3
EH4323	51	AspN	run1	1
EH4324	51	AspN	run1	2
EH4325	51	AspN	run1	3
EH4329	52	AspN	run1	1
EH4330	52	AspN	run1	2
EH4331	52	AspN	run1	3
EH4335	53	AspN	run1	1
EH4336	53	AspN	run1	2
EH4337	53	AspN	run1	3
EH4341	54	AspN	run1	1
EH4342	54	AspN	run1	2
EH4343	54	AspN	run1	3
EH4347	55	AspN	run1	1
EH4348	55	AspN	run1	2
EH4349	55	AspN	run1	3
EH4350	56	AspN	run1	1
EH4351	56	AspN	run1	2
EH4352	56	AspN	run1	3
EH4353	57	AspN	run1	1
EH4354	57	AspN	run1	2
EH4355	57	AspN	run1	3
EH4356	58	AspN	run1	1
EH4357	58	AspN	run1	2
EH4358	58	AspN	run1	3
EH4362	59	AspN	run1	1
EH4363	59	AspN	run1	2
EH4364	59	AspN	run1	3
EH4371	60	AspN	run1	1
EH4372	60	AspN	run1	2
EH4373	60	AspN	run1	3
EH4377	61	AspN	run1	1
EH4378	61	AspN	run1	2
EH4379	61	AspN	run1	3
EH4383	62	AspN	run1	1
EH4384	62	AspN	run1	2
EH4385	62	AspN	run1	3
EH4389	63	AspN	run1	1
EH4390	63	AspN	run1	2
EH4391	63	AspN	run1	3
EH4395	64	AspN	run1	1
EH4396	64	AspN	run1	2
EH4397	64	AspN	run1	3
EH4401	65	AspN	run1	1
EH4402	65	AspN	run1	2
EH4403	65	AspN	run1	3
EH4407	66	AspN	run1	1
EH4408	66	AspN	run1	2
EH4409	66	AspN	run1	3
EH4413	67	AspN	run1	1
EH4414	67	AspN	run1	2
EH4415	67	AspN	run1	3
EH4416	68	AspN	run1	1
EH4417	68	AspN	run1	2
EH4418	68	AspN	run1	3
EH4422	69	AspN	run1	1
EH4423	69	AspN	run1	2
EH4424	69	AspN	run1	3
EH4428	70	AspN	run1	1
EH4429	70	AspN	run1	2
EH4430	70	AspN	run1	3
EH4439	1	Ct+Tryp	run1	1
EH4440	1	Ct+Tryp	run1	2
EH4441	1	Ct+Tryp	run1	3
EH4443	2	Ct+Tryp	run1	1
EH4444	2	Ct+Tryp	run1	2
EH4445	2	Ct+Tryp	run1	3
EH4447	3	Ct+Tryp	run1	1
EH4448	3	Ct+Tryp	run1	2
EH4449	3	Ct+Tryp	run1	3
EH4451	4	Ct+Tryp	run1	1
EH4452	4	Ct+Tryp	run1	2
EH4453	4	Ct+Tryp	run1	3
EH4455	5	Ct+Tryp	run1	1
EH4456	5	Ct+Tryp	run1	2
EH4457	5	Ct+Tryp	run1	3
EH4461	6	Ct+Tryp	run1	1
EH4462	6	Ct+Tryp	run1	2
EH4463	6	Ct+Tryp	run1	3
EH4465	7	Ct+Tryp	run1	1
EH4466	7	Ct+Tryp	run1	2
EH4467	7	Ct+Tryp	run1	3
EH4469	8	Ct+Tryp	run1	1
EH4470	8	Ct+Tryp	run1	2
EH4471	8	Ct+Tryp	run1	3
EH4473	9	Ct+Tryp	run1	1
EH4474	9	Ct+Tryp	run1	2
EH4475	9	Ct+Tryp	run1	3
EH4477	10	Ct+Tryp	run1	1
EH4478	10	Ct+Tryp	run1	2
EH4479	10	Ct+Tryp	run1	3
EH4483	11	Ct+Tryp	run1	1
EH4484	11	Ct+Tryp	run1	2
EH4485	11	Ct+Tryp	run1	3
EH4487	12	Ct+Tryp	run1	1
EH4488	12	Ct+Tryp	run1	2
EH4489	12	Ct+Tryp	run1	3
EH4491	13	Ct+Tryp	run1	1
EH4492	13	Ct+Tryp	run1	2
EH4493	13	Ct+Tryp	run1	3
EH4495	14	Ct+Tryp	run1	1
EH4496	14	Ct+Tryp	run1	2
EH4497	14	Ct+Tryp	run1	3
EH4499	15	Ct+Tryp	run1	1
EH4500	15	Ct+Tryp	run1	2
EH4501	15	Ct+Tryp	run1	3
EH4503	16	Ct+Tryp	run1	1
EH4504	16	Ct+Tryp	run1	2
EH4505	16	Ct+Tryp	run1	3
EH4509	17	Ct+Tryp	run1	1
EH4510	17	Ct+Tryp	run1	2
EH4511	17	Ct+Tryp	run1	3
EH4513	18	Ct+Tryp	run1	1
EH4514	18	Ct+Tryp	run1	2
EH4515	18	Ct+Tryp	run1	3
EH4517	19	Ct+Tryp	run1	1
EH4518	19	Ct+Tryp	run1	2
EH4519	19	Ct+Tryp	run1	3
EH4521	20	Ct+Tryp	run1	1
EH4522	20	Ct+Tryp	run1	2
EH4523	20	Ct+Tryp	run1	3
EH4525	21	Ct+Tryp	run1	1
EH4526	21	Ct+Tryp	run1	2
EH4527	21	Ct+Tryp	run1	3
EH4531	22	Ct+Tryp	run1	1
EH4532	22	Ct+Tryp	run1	2
EH4533	22	Ct+Tryp	run1	3
EH4535	23	Ct+Tryp	run1	1
EH4536	23	Ct+Tryp	run1	2
EH4537	23	Ct+Tryp	run1	3
EH4539	24	Ct+Tryp	run1	1
EH4540	24	Ct+Tryp	run1	2
EH4541	24	Ct+Tryp	run1	3
EH4543	25	Ct+Tryp	run1	1
EH4544	25	Ct+Tryp	run1	2
EH4545	25	Ct+Tryp	run1	3
EH4549	26	Ct+Tryp	run1	1
EH4550	26	Ct+Tryp	run1	2
EH4551	26	Ct+Tryp	run1	3
