Rawfilenumber	Sample	Protease	run	replicate
EH4013	58	Ct	run1	2
EH4014	58	Ct	run1	3
EH4015	blank	Ct	run1	NA
EH4016	blank	Ct	run1	NA
EH4017	blank	Ct	run1	NA
EH4018	59	Ct	run1	1
EH4019	59	Ct	run1	2
EH4020	59	Ct	run1	3
EH4021	blank	Ct	run1	NA
EH4022	blank	Ct	run1	NA
EH4023	blank	Ct	run1	NA
EH4024	blank	Ct	run1	NA
EH4025	blank	Ct	run1	NA
EH4026	blank	Ct	run1	NA
EH4027	60	Ct	run1	1
EH4028	60	Ct	run1	2
EH4029	60	Ct	run1	3
EH4030	blank	Ct	run1	NA
EH4031	blank	Ct	run1	NA
EH4032	blank	Ct	run1	NA
EH4033	61	Ct	run1	1
EH4034	61	Ct	run1	2
EH4035	61	Ct	run1	3
EH4036	blank	Ct	run1	NA
EH4037	blank	Ct	run1	NA
EH4038	blank	Ct	run1	NA
EH4039	62	Ct	run1	1
EH4040	62	Ct	run1	2
EH4041	62	Ct	run1	3
EH4042	blank	Ct	run1	NA
EH4043	blank	Ct	run1	NA
EH4044	blank	Ct	run1	NA
EH4045	63	Ct	run1	1
EH4046	63	Ct	run1	2
EH4047	63	Ct	run1	3
EH4048	blank	Ct	run1	NA
EH4049	blank	Ct	run1	NA
EH4050	blank	Ct	run1	NA
EH4051	64	Ct	run1	1
EH4052	64	Ct	run1	2
EH4053	64	Ct	run1	3
EH4054	blank	Ct	run1	NA
EH4055	blank	Ct	run1	NA
EH4056	blank	Ct	run1	NA
EH4057	65	Ct	run1	1
EH4058	65	Ct	run1	2
EH4059	65	Ct	run1	3
EH4060	blank	Ct	run1	NA
EH4061	blank	Ct	run1	NA
EH4062	blank	Ct	run1	NA
EH4063	66	Ct	run1	1
EH4064	66	Ct	run1	2
EH4065	66	Ct	run1	3
EH4066	blank	Ct	run1	NA
EH4067	blank	Ct	run1	NA
EH4068	blank	Ct	run1	NA
EH4069	67	Ct	run1	1
EH4070	67	Ct	run1	2
EH4071	67	Ct	run1	3
EH4072	68	Ct	run1	1
EH4073	68	Ct	run1	2
EH4074	68	Ct	run1	3
EH4075	blank	Ct	run1	NA
EH4076	blank	Ct	run1	NA
EH4077	blank	Ct	run1	NA
EH4078	69	Ct	run1	1
EH4079	69	Ct	run1	2
EH4080	69	Ct	run1	3
EH4081	blank	Ct	run1	NA
EH4082	blank	Ct	run1	NA
EH4083	blank	Ct	run1	NA
EH4084	70	Ct	run1	1
EH4085	70	Ct	run1	2
EH4086	70	Ct	run1	3
EH4090	1	AspN	run1	1
EH4091	1	AspN	run1	2
EH4092	1	AspN	run1	3
EH4093	blank	AspN	run1	NA
EH4094	2	AspN	run1	1
EH4095	2	AspN	run1	2
EH4096	2	AspN	run1	3
EH4097	blank	AspN	run1	NA
EH4098	3	AspN	run1	1
